uid,variant
1761,control
11808,control
3144,control
16186,control
6753,treatment
13530,control
7393,control
1717,control
714,control
977,treatment
14984,treatment
14988,treatment
9792,control
13052,treatment
6933,control
298,control
13027,treatment
17000,control
8499,treatment
11745,control
600,control
8156,control
7364,control
9088,treatment
5467,treatment
544,treatment
12589,control
13499,treatment
15637,treatment
2435,control
6359,treatment
16375,treatment
2086,control
11839,treatment
2966,treatment
11319,treatment
16746,treatment
2206,treatment
14315,control
2431,treatment
10962,control
1787,control
4,control
12053,treatment
9340,treatment
2773,control
14944,treatment
16416,treatment
3781,control
3116,control
13964,treatment
4448,control
3360,control
9337,control
16411,treatment
13619,control
8369,control
13494,control
11588,treatment
5494,treatment
13339,control
7429,control
13881,treatment
9086,treatment
2541,control
7884,control
7027,treatment
8415,control
12254,treatment
2569,control
4089,treatment
12565,treatment
12320,treatment
13137,control
12784,treatment
14602,treatment
4046,control
6924,control
14572,control
9105,control
16986,treatment
14518,treatment
7977,treatment
9039,treatment
14043,control
5739,treatment
7174,control
242,control
7146,treatment
410,control
16957,treatment
13284,treatment
6111,control
8458,control
13603,treatment
3884,control
11811,control
11872,control
7166,control
7773,treatment
4027,control
15173,control
15286,control
7621,treatment
15390,control
16673,treatment
16844,control
1771,control
11946,control
7728,control
11079,treatment
16664,treatment
5414,control
3400,control
9164,treatment
303,control
1167,control
8392,control
15163,treatment
1289,treatment
12576,control
15206,treatment
10916,treatment
648,treatment
9854,treatment
13749,control
1860,control
15421,control
7530,control
7660,control
16518,treatment
12821,treatment
11357,treatment
9980,control
7225,control
12304,control
14152,treatment
1614,treatment
4799,treatment
2799,control
7245,treatment
11095,control
13912,treatment
6485,control
15128,control
1698,control
3548,control
15689,control
9047,treatment
9159,treatment
14557,treatment
15467,treatment
2186,treatment
10500,treatment
14616,treatment
9762,control
5777,control
17107,control
12343,treatment
13692,control
15785,treatment
9072,treatment
14213,treatment
5054,treatment
14136,treatment
16703,control
13486,control
10427,treatment
6854,treatment
2389,treatment
11156,control
6329,treatment
4649,treatment
12581,treatment
351,control
14288,control
12257,control
5875,control
12126,control
7995,treatment
5781,treatment
588,control
2675,treatment
13345,treatment
15964,control
7935,control
12678,control
6837,control
13033,control
592,treatment
4604,treatment
3950,treatment
1426,treatment
400,control
13096,treatment
8578,control
9828,treatment
7021,control
13617,control
91,treatment
16821,treatment
7001,control
4324,treatment
11205,control
4230,control
14801,treatment
7752,control
2124,control
254,treatment
1140,treatment
14747,control
11112,control
7544,treatment
8509,control
2720,treatment
10048,treatment
11135,control
8697,treatment
12845,control
10392,treatment
5556,treatment
4562,control
12649,treatment
11273,control
10401,control
4676,treatment
11027,treatment
5192,control
2705,treatment
2477,treatment
1462,treatment
4333,control
15948,control
16038,control
4903,control
6993,treatment
12864,control
6936,control
7936,control
1399,treatment
9556,treatment
12817,treatment
11091,treatment
8703,treatment
16946,control
15032,treatment
10637,control
16010,control
549,treatment
14575,control
3834,treatment
11940,control
2879,treatment
3855,control
10230,control
4057,treatment
16545,treatment
11244,treatment
8491,control
2433,treatment
12843,treatment
4409,control
12679,control
12660,treatment
10661,treatment
7053,treatment
10807,treatment
2282,treatment
1075,treatment
10211,control
6688,treatment
11146,control
12009,control
598,control
12802,control
16122,treatment
109,treatment
12040,control
1036,treatment
14627,treatment
1091,control
1986,treatment
13145,treatment
16323,treatment
2624,control
11673,control
10003,control
4152,control
7685,treatment
17198,control
2337,control
5707,treatment
9008,control
1171,treatment
10397,treatment
11333,treatment
1204,control
9575,treatment
4085,control
5093,control
834,control
7139,treatment
10923,treatment
7803,control
1658,treatment
7184,treatment
212,control
14556,treatment
7033,control
16521,treatment
8511,control
5522,control
3907,treatment
12975,control
16688,treatment
15314,control
5332,control
11749,treatment
3159,control
8210,treatment
2588,control
49,control
14425,control
3251,treatment
11912,treatment
13986,control
7197,control
10106,treatment
13332,control
14159,treatment
16976,control
1231,control
2790,treatment
1296,treatment
11008,control
5711,treatment
2528,treatment
4067,control
11503,control
8324,control
9904,treatment
7363,control
14021,treatment
12132,control
5833,treatment
16917,treatment
14153,control
4652,treatment
16000,control
10201,control
2617,control
1789,treatment
15155,treatment
6516,treatment
7052,control
7143,control
11060,treatment
3557,treatment
5308,treatment
11227,control
14942,control
13433,treatment
1994,control
2581,control
14624,control
1993,control
7240,control
15819,control
9212,treatment
2375,control
14461,treatment
3518,control
2963,control
16031,treatment
15303,treatment
2276,treatment
6217,control
6247,control
8873,control
11106,treatment
2046,treatment
1434,treatment
1008,treatment
14865,treatment
5086,treatment
1007,control
10829,control
4569,control
7088,control
16337,treatment
8969,control
15091,treatment
13079,treatment
12752,treatment
1887,treatment
2989,control
12052,control
1397,treatment
1292,treatment
9487,treatment
13724,treatment
14045,control
10640,control
6531,treatment
10448,treatment
6905,treatment
1776,control
12216,control
15013,control
997,control
6543,control
14199,control
13719,treatment
1932,control
17185,treatment
14216,control
11728,treatment
11460,treatment
6839,control
3621,control
4440,control
5397,control
6441,treatment
9224,control
13657,treatment
5247,control
16869,treatment
13425,treatment
14639,control
2122,treatment
7028,treatment
7875,control
7303,treatment
2699,control
686,treatment
11030,treatment
1172,control
15495,control
9206,control
3641,treatment
16784,control
4364,control
16670,control
7961,control
12790,treatment
2029,control
15612,treatment
2740,treatment
9233,control
13193,treatment
8150,control
14177,control
1571,control
9442,treatment
16555,control
4752,treatment
9288,control
5771,control
15638,control
10082,control
12449,control
4859,control
11291,control
14969,control
6629,control
3173,control
16889,control
6628,control
15908,control
9203,treatment
10680,treatment
6699,control
305,treatment
11401,control
14111,control
16462,control
7694,control
16469,treatment
12359,control
14135,treatment
9884,treatment
16321,treatment
13352,control
3241,treatment
10728,treatment
2555,control
5695,treatment
8186,treatment
10149,control
11788,treatment
14350,treatment
7232,treatment
9849,control
2430,control
7435,treatment
11985,treatment
2260,treatment
11706,treatment
12927,treatment
14178,treatment
14509,treatment
15177,control
1319,control
15576,control
13189,control
2782,control
15265,control
6818,control
4710,treatment
16761,treatment
14568,treatment
12425,treatment
16139,control
1449,treatment
15025,treatment
5100,control
10238,control
8986,control
98,treatment
3478,control
16023,treatment
9830,treatment
9191,control
17056,treatment
3871,control
3052,treatment
8095,treatment
4579,control
15240,treatment
5904,control
873,treatment
9216,control
12372,treatment
833,treatment
12753,control
2892,treatment
535,control
12414,treatment
5250,treatment
12129,treatment
3593,treatment
8067,control
13769,treatment
16317,control
2755,control
9318,control
3231,treatment
9327,control
11756,treatment
206,control
8241,control
10722,control
16891,control
5514,treatment
13226,treatment
16117,control
12538,treatment
16763,control
11897,treatment
9967,control
15885,treatment
7769,treatment
16167,control
477,treatment
3033,treatment
16556,treatment
5446,treatment
6976,control
10022,treatment
12503,control
17015,treatment
13841,treatment
2423,treatment
5926,control
5714,treatment
13439,control
3133,treatment
9098,control
8594,control
7664,control
4900,control
6902,treatment
503,control
15899,treatment
7855,treatment
13406,control
3352,control
14971,control
6808,treatment
1880,treatment
169,treatment
13368,control
8539,control
14738,control
4648,control
16542,treatment
17133,treatment
11857,control
12974,treatment
7371,treatment
3157,treatment
13060,treatment
4401,treatment
1813,treatment
6492,treatment
11487,control
14858,control
12966,control
826,treatment
10719,treatment
16653,treatment
2420,treatment
10351,treatment
10659,control
14996,control
15870,control
5956,control
16335,control
1433,treatment
6959,control
3738,control
10494,treatment
6274,treatment
12628,control
4632,control
9403,control
4714,control
10870,control
7662,control
10135,control
11609,treatment
3253,treatment
12020,control
5378,control
15039,control
2512,control
7075,control
9158,control
6128,treatment
17131,control
6076,control
16853,control
8945,control
2809,treatment
11532,control
15175,control
8018,control
14769,treatment
3125,treatment
12912,treatment
16799,control
9302,treatment
12107,treatment
14723,treatment
14677,control
5235,treatment
5534,control
10254,control
2330,control
14697,control
9778,treatment
4267,control
448,treatment
13910,control
11698,control
3686,treatment
10768,control
14796,treatment
571,control
156,treatment
5069,control
6124,control
9771,control
5130,treatment
9357,treatment
103,control
7874,control
2637,treatment
16222,control
7365,control
14064,treatment
6538,control
1872,control
2263,control
2568,treatment
786,treatment
16972,control
1695,control
12902,control
12806,control
15675,control
16749,treatment
11454,control
16490,treatment
10013,control
14478,treatment
9810,control
418,treatment
3940,treatment
16814,treatment
6501,treatment
13992,control
6553,treatment
13938,control
7418,treatment
10636,control
10953,treatment
15322,control
16954,control
8178,control
10358,treatment
9399,control
11848,treatment
13112,control
4270,treatment
6579,control
13659,treatment
7856,treatment
15767,treatment
6380,treatment
3998,treatment
5387,treatment
3988,treatment
829,control
7695,treatment
10758,treatment
8722,control
16817,treatment
7249,treatment
11825,treatment
11502,control
4283,treatment
10098,control
15525,treatment
5508,control
13390,treatment
3393,treatment
14047,treatment
13610,control
2459,control
3954,treatment
7632,treatment
9694,treatment
1951,treatment
6265,treatment
8483,control
17144,treatment
4553,treatment
9078,treatment
7615,treatment
16571,control
10727,treatment
12691,treatment
4539,treatment
15044,treatment
11316,control
9760,control
8823,treatment
2697,treatment
14773,control
9211,treatment
10261,treatment
6702,control
16859,control
2108,control
2062,control
11370,treatment
9730,treatment
17222,treatment
762,control
7131,treatment
11442,control
14036,treatment
141,control
15023,treatment
16217,control
7165,treatment
10256,treatment
15657,control
8526,control
5913,treatment
1973,treatment
2852,treatment
5204,treatment
12006,control
2061,treatment
14580,treatment
4795,treatment
1270,treatment
11223,treatment
13861,control
13229,treatment
6695,treatment
10086,control
9495,treatment
9441,treatment
4117,treatment
5674,control
15644,treatment
905,treatment
628,treatment
2483,control
10698,treatment
7993,treatment
7233,treatment
131,treatment
13458,control
8242,treatment
2947,treatment
9776,control
13404,treatment
1487,control
4261,treatment
12898,control
6101,treatment
6070,treatment
14520,control
10526,treatment
17186,control
6523,control
10925,treatment
5803,control
14193,control
13295,control
10004,control
788,control
222,control
2381,treatment
420,control
14273,control
4248,treatment
16301,treatment
6953,treatment
15118,control
2633,treatment
12529,treatment
14522,treatment
8645,treatment
11475,control
10309,treatment
12839,control
3169,treatment
8556,treatment
11733,control
838,control
1384,control
3852,control
10682,treatment
163,control
1753,treatment
5970,treatment
11000,control
1709,treatment
12725,treatment
10053,control
7902,treatment
823,control
13907,treatment
1548,control
9362,control
3313,treatment
12950,control
9568,treatment
14645,control
7515,treatment
2849,control
10193,control
9931,treatment
3041,treatment
10487,treatment
4865,control
14108,control
15763,control
6667,control
21,control
13266,control
15077,treatment
7630,treatment
12993,treatment
12314,control
11567,control
3399,treatment
313,treatment
6827,treatment
14995,control
133,treatment
11158,treatment
16605,treatment
729,treatment
4603,treatment
15609,treatment
2912,control
13391,treatment
8189,treatment
4490,treatment
4384,control
9544,treatment
7353,control
5299,control
13980,control
10134,control
3577,control
12098,control
9580,control
10987,control
16892,treatment
2595,treatment
613,treatment
4960,control
11755,treatment
10352,control
11295,treatment
14925,control
4470,control
7171,treatment
7520,treatment
16524,treatment
11726,control
5516,control
14555,control
14827,control
13260,control
5941,control
10226,control
7566,treatment
7307,control
378,control
4529,control
14230,control
7316,treatment
8198,treatment
6701,control
11846,control
13860,control
2812,control
3992,treatment
2936,treatment
359,treatment
15490,treatment
3703,treatment
2713,treatment
2151,control
16744,treatment
3091,treatment
13671,control
733,treatment
9057,control
13072,control
16116,treatment
6920,treatment
13148,treatment
9696,control
6539,control
15875,control
5706,control
15438,control
756,treatment
4420,treatment
12509,control
16565,treatment
12467,control
5098,control
6763,control
2691,treatment
7640,treatment
5836,control
5495,treatment
2479,control
15769,control
9911,treatment
5064,control
15848,control
12604,treatment
787,control
1093,control
8732,treatment
10212,treatment
10044,control
5348,control
2704,control
2444,treatment
9465,treatment
10934,control
13825,control
8318,control
13434,treatment
14508,treatment
6045,treatment
15818,control
6354,control
1806,control
1,treatment
9201,treatment
2067,control
3381,control
5284,control
3985,treatment
16472,treatment
3750,treatment
4770,control
3127,control
9674,control
4225,control
15954,treatment
10537,control
2195,treatment
9560,control
13773,control
344,control
7574,control
10658,treatment
3132,control
4544,control
1798,treatment
15648,treatment
16801,control
5887,control
10386,control
12021,control
9246,control
10490,control
9115,treatment
15196,control
14502,treatment
2895,control
11757,treatment
11998,control
5900,control
7398,control
1153,treatment
12368,control
14206,treatment
9712,control
3454,control
74,control
5624,control
9507,control
10023,control
5895,control
13878,treatment
16678,control
12362,treatment
14534,control
4912,treatment
1109,treatment
15500,treatment
4749,treatment
13217,control
2193,control
15016,control
5533,treatment
5363,control
9493,control
856,control
151,control
14808,control
12833,control
3180,treatment
9209,treatment
5971,control
11377,treatment
10951,treatment
3000,treatment
8990,treatment
6328,control
3239,control
2251,treatment
4700,control
1406,treatment
14405,treatment
3550,treatment
11898,control
5560,treatment
15947,control
11180,control
2143,treatment
812,control
6187,control
6666,treatment
7195,treatment
15688,treatment
14105,treatment
10371,control
5208,treatment
9417,treatment
11723,treatment
12635,control
4589,control
7911,treatment
464,treatment
8890,control
17013,control
1020,control
13375,treatment
2437,treatment
6038,treatment
15738,treatment
4549,control
13065,treatment
14628,control
14655,treatment
7586,control
4819,control
5430,control
16610,control
4517,control
4464,control
9491,control
8939,treatment
3284,treatment
846,control
15580,control
343,control
2948,treatment
1271,control
10788,control
2532,treatment
11488,control
15112,control
12148,control
4856,control
15583,treatment
6178,treatment
15182,control
14010,treatment
1101,control
10137,treatment
14022,control
15300,treatment
12243,treatment
4293,treatment
13738,treatment
7482,treatment
11663,control
7987,treatment
7613,treatment
15301,control
1984,control
9326,treatment
4263,treatment
14913,treatment
12093,treatment
2996,control
3881,treatment
12116,control
13382,control
13405,treatment
17019,control
10797,treatment
15851,treatment
8835,control
10147,treatment
5317,treatment
14366,treatment
15826,treatment
5988,treatment
7080,control
2365,treatment
16278,control
7277,control
3012,control
13448,treatment
4460,treatment
3198,control
9923,control
752,treatment
6206,treatment
12258,control
12828,control
12782,control
8454,treatment
9287,control
15854,treatment
10989,treatment
5847,control
4240,control
9123,control
16192,treatment
12285,control
7616,control
16939,treatment
13851,treatment
16538,control
6423,control
15221,control
11507,control
11737,treatment
12370,treatment
10676,control
4501,treatment
14930,treatment
1238,control
16876,control
7963,control
1933,treatment
5718,control
15527,treatment
2622,control
13201,treatment
6893,treatment
2964,control
4134,treatment
7940,control
2316,treatment
16970,treatment
11666,treatment
14386,treatment
8257,treatment
13043,treatment
5009,control
6350,treatment
2169,control
8791,treatment
3756,treatment
9114,control
17087,control
908,treatment
3578,treatment
3261,treatment
8326,treatment
5415,control
14360,control
16106,control
190,treatment
6886,treatment
5691,control
7813,treatment
797,control
11072,treatment
4716,treatment
11536,control
11233,treatment
5860,control
14507,control
14512,control
15466,control
15430,treatment
1533,control
15356,control
6108,treatment
3017,control
2986,treatment
868,treatment
9182,treatment
4002,treatment
14941,treatment
14989,control
2335,control
16958,control
1497,treatment
11163,treatment
4694,control
10237,control
8036,control
11604,control
2224,treatment
8570,treatment
12744,control
8947,treatment
8859,control
108,treatment
14369,control
5306,control
16409,treatment
13012,treatment
1045,control
13088,treatment
14539,treatment
8354,treatment
7192,control
3445,control
16201,treatment
14613,treatment
1267,control
3467,treatment
5014,control
14389,control
14100,treatment
15701,treatment
11704,treatment
10336,control
2255,control
8699,treatment
7648,treatment
15828,treatment
14118,treatment
16463,control
12252,treatment
13688,treatment
12121,treatment
15375,control
2722,treatment
14694,treatment
5473,control
16080,control
3916,control
11885,treatment
4581,treatment
11972,control
807,control
15977,control
16747,control
9341,control
10362,control
8917,treatment
7098,treatment
10880,control
9858,treatment
11707,treatment
2761,treatment
622,treatment
3606,control
2253,treatment
6590,control
8678,control
16085,control
6828,control
10574,control
2236,control
4430,control
11493,treatment
10633,control
13611,control
14636,treatment
6838,treatment
6659,control
15414,control
12105,treatment
7865,treatment
13187,control
4726,treatment
6866,control
661,control
13723,treatment
8854,treatment
9908,control
12030,control
10412,control
4762,treatment
12776,control
12308,control
8193,treatment
4367,treatment
16835,control
11715,control
8858,treatment
12138,control
7202,treatment
13813,control
12011,control
7087,treatment
1669,treatment
2355,control
10540,control
5595,control
13314,treatment
10867,control
1523,treatment
10369,treatment
15407,treatment
7149,control
9912,treatment
12154,control
8139,treatment
14277,control
7805,treatment
4450,control
1705,control
7071,treatment
10232,control
7276,treatment
9610,control
16084,treatment
16685,treatment
3010,control
6315,control
2298,control
13871,control
15275,treatment
251,control
4292,treatment
1404,control
12088,treatment
4880,control
6465,treatment
12846,treatment
12035,control
832,control
6718,control
7691,control
4158,control
2285,treatment
10101,control
7881,control
7313,control
16220,control
562,control
9531,control
8145,control
14970,treatment
12010,treatment
2374,control
9144,control
13867,control
9100,treatment
1112,control
14357,treatment
144,treatment
15327,treatment
683,control
3512,treatment
12350,treatment
3268,control
8472,control
16647,control
175,treatment
3205,control
12610,treatment
2838,treatment
15181,control
1941,control
16266,control
15628,treatment
15231,control
11367,treatment
17230,control
6604,treatment
3588,control
8166,treatment
10313,control
9926,control
991,treatment
14188,treatment
14129,treatment
10992,control
865,treatment
8183,control
10085,control
13812,treatment
15873,treatment
4780,control
5670,treatment
12165,control
5031,control
11943,control
13709,control
12433,control
12379,control
2283,treatment
10473,control
120,control
11510,control
15642,control
2065,control
11765,treatment
5612,treatment
1418,control
3923,control
11054,control
7188,control
4109,control
3419,control
9380,control
10276,control
3772,control
16033,control
14881,control
16882,control
7679,control
11038,treatment
7346,control
2746,treatment
15272,control
10844,treatment
17214,treatment
2889,treatment
15857,treatment
1014,treatment
13706,treatment
4396,control
4115,control
8886,treatment
14336,control
38,treatment
4393,control
15838,control
12279,treatment
10251,control
7439,treatment
16824,control
7183,control
11366,treatment
93,treatment
799,control
6633,treatment
6039,treatment
11651,treatment
1976,control
2940,treatment
12547,control
815,treatment
9485,control
13662,control
897,treatment
589,control
512,control
12135,control
15447,control
2222,control
13364,control
16527,control
859,treatment
15639,treatment
10868,control
14134,treatment
12976,control
457,treatment
16419,control
10536,control
10899,control
10896,treatment
13765,treatment
10479,treatment
12412,control
301,control
8927,control
5132,treatment
14270,treatment
14900,treatment
11717,control
4212,treatment
8100,control
7060,treatment
12926,treatment
15325,control
3506,treatment
8664,control
3773,control
8977,treatment
6883,control
9192,control
2474,control
470,treatment
15633,control
2984,control
15627,control
5835,treatment
3996,control
4304,treatment
2383,control
3057,control
7836,control
14404,control
14128,control
8412,treatment
13507,control
3138,treatment
1673,control
7964,control
4202,control
16151,control
4545,treatment
2655,treatment
5016,treatment
12794,treatment
3702,control
16650,control
13009,control
14614,control
14086,treatment
15251,treatment
12919,treatment
13736,control
8551,treatment
5466,control
3831,control
13779,control
15079,treatment
6525,control
2580,treatment
11025,control
485,control
8674,treatment
1965,control
5092,control
1627,treatment
11986,treatment
15778,control
5629,treatment
15046,treatment
437,control
1502,treatment
14147,control
1528,control
4667,treatment
11792,control
7950,control
70,treatment
12788,control
12965,control
9631,treatment
4754,treatment
15577,control
791,control
12325,treatment
13174,control
10623,control
11899,treatment
14754,control
16377,control
16927,control
3189,treatment
12869,treatment
9483,control
9004,treatment
12269,control
6559,treatment
9774,control
5966,control
14044,treatment
8304,control
14525,treatment
6884,control
5884,control
1253,control
9125,treatment
5740,treatment
260,control
13470,control
13129,control
16597,treatment
6750,control
14423,control
2049,control
663,control
4298,treatment
16723,control
10723,control
10282,treatment
7531,treatment
16076,treatment
8766,control
6772,control
11059,treatment
1957,control
3426,control
3344,control
9166,control
10247,control
8735,control
6632,treatment
9981,control
13073,control
9339,treatment
7499,treatment
9382,treatment
7502,treatment
9237,control
2198,treatment
4382,treatment
1679,treatment
13058,treatment
10674,control
11501,control
17149,control
7681,treatment
14332,control
14793,control
1944,treatment
15313,control
16531,treatment
12768,treatment
9459,control
17084,control
2038,control
16589,control
3953,control
15821,control
3959,control
8444,control
4873,control
6822,control
15475,treatment
7683,control
2738,control
5398,treatment
13834,control
9295,treatment
5419,treatment
5293,control
1456,control
9157,control
2545,control
13941,control
5617,treatment
6374,treatment
7461,control
5866,treatment
12746,treatment
307,treatment
16105,treatment
14320,treatment
2033,control
12204,control
4507,treatment
9918,treatment
17007,control
1889,control
12496,treatment
1295,treatment
14781,treatment
5546,treatment
5215,treatment
15242,control
15425,treatment
462,treatment
11880,control
16646,control
11115,control
4646,control
4178,control
16825,treatment
7738,treatment
394,control
2526,treatment
8502,control
3962,treatment
16686,control
4149,treatment
8828,treatment
1922,treatment
7438,control
7017,control
10873,control
4702,control
6845,treatment
280,treatment
6951,control
8008,control
3901,treatment
15075,control
16404,control
1706,treatment
2589,treatment
2715,control
315,control
6246,treatment
5035,treatment
14731,control
15076,control
9452,treatment
5316,control
8117,control
17063,treatment
12203,treatment
9083,control
7997,treatment
12261,treatment
1747,control
10589,control
16093,control
13798,control
15270,control
6919,treatment
13326,treatment
4012,treatment
8312,control
15043,treatment
10190,control
1556,control
4962,control
17241,control
5528,treatment
744,treatment
11545,control
2059,treatment
9273,control
6464,control
7522,treatment
1249,control
6656,treatment
14333,control
14339,control
11572,treatment
15088,control
12665,treatment
6950,control
388,treatment
5775,control
13858,treatment
13194,treatment
1630,treatment
2370,treatment
12985,treatment
3093,treatment
14903,control
4950,treatment
746,control
8344,treatment
9805,control
5792,treatment
9639,control
14399,treatment
4645,control
6037,treatment
8769,control
3327,control
10882,treatment
382,control
14504,control
7690,control
13691,control
5111,treatment
8213,control
12918,treatment
6486,control
2077,treatment
1080,control
4436,control
16815,treatment
11941,treatment
1360,control
14220,control
8179,treatment
4801,treatment
14294,control
15961,treatment
11216,treatment
4877,treatment
14344,control
14006,control
8305,control
2024,treatment
5838,treatment
15732,control
13727,treatment
636,treatment
8264,treatment
6398,treatment
12841,control
7402,treatment
15296,control
10648,control
7594,treatment
12747,control
15147,treatment
14014,control
106,treatment
15139,treatment
8547,treatment
6619,control
7629,treatment
5700,treatment
13821,treatment
10219,control
9594,control
8728,treatment
2016,control
2155,control
1438,control
3604,control
8655,treatment
5728,treatment
11773,control
11677,treatment
6611,treatment
13265,control
14593,treatment
2548,treatment
11547,control
11595,control
9503,treatment
2450,treatment
2510,treatment
16478,treatment
3304,control
16769,treatment
9843,treatment
6673,treatment
12961,treatment
6831,control
8662,treatment
11237,control
14506,treatment
243,control
12957,control
9036,treatment
12113,treatment
14398,treatment
2721,control
2743,treatment
4328,treatment
10645,control
4054,treatment
4398,treatment
10766,treatment
15730,control
13164,treatment
14879,treatment
2384,control
3555,treatment
8212,control
16832,control
15708,control
13753,control
6655,control
14999,control
13789,control
3151,control
11992,treatment
2102,treatment
8371,control
2203,control
10010,treatment
1290,treatment
1027,control
2632,treatment
9702,treatment
105,control
15757,control
12877,treatment
6218,control
8232,treatment
12200,treatment
5613,treatment
357,treatment
8763,control
4242,treatment
5279,treatment
12103,treatment
4803,treatment
17161,control
10850,control
14711,treatment
11722,control
16616,control
4905,control
16298,control
17057,control
14395,control
2235,control
2696,treatment
4731,control
16916,control
16101,control
4611,treatment
13163,control
8714,treatment
6277,treatment
10663,treatment
3398,treatment
13267,control
10306,treatment
1928,control
4342,treatment
1831,treatment
1968,treatment
12184,treatment
148,treatment
7689,control
11108,treatment
11579,control
14401,treatment
4125,treatment
15856,treatment
1446,control
1188,control
3821,treatment
15537,treatment
16606,control
5819,treatment
14120,treatment
8171,control
13456,treatment
3136,control
5003,treatment
6721,treatment
5597,control
9061,control
431,treatment
8097,treatment
8345,control
13843,treatment
15465,control
6558,treatment
15643,control
4022,control
11434,control
9142,control
5906,treatment
6972,control
7334,control
4209,treatment
12673,treatment
6777,control
14029,control
685,control
11783,treatment
16331,control
4600,control
7745,treatment
2069,control
2095,treatment
10518,control
4788,treatment
5690,control
7186,treatment
16806,treatment
1906,control
9107,control
6904,control
1072,treatment
263,control
13559,control
16040,treatment
9800,control
5668,control
6985,control
13081,treatment
11690,control
8649,control
3720,treatment
15366,control
11344,treatment
2873,control
17232,control
11051,control
1098,treatment
1553,treatment
6191,treatment
4309,treatment
8648,treatment
12740,control
7222,control
14851,treatment
12408,control
722,treatment
9281,treatment
6337,control
7144,control
14328,treatment
7599,control
13664,control
763,treatment
12380,treatment
9962,control
5037,control
14844,treatment
10805,treatment
7703,control
15143,treatment
12328,treatment
14533,control
6809,treatment
5186,treatment
2783,treatment
9269,treatment
13597,control
8504,control
11465,control
8756,control
14113,treatment
11122,treatment
6653,control
5779,control
11022,treatment
9250,treatment
5493,treatment
7449,treatment
1830,treatment
1364,treatment
3438,treatment
14027,control
6928,treatment
4510,control
1369,control
9126,treatment
7643,control
4564,control
10653,control
15914,treatment
13103,treatment
3714,treatment
13520,treatment
8120,control
10349,control
16251,treatment
2667,control
6929,treatment
13489,control
5662,control
5266,control
1264,control
9698,control
16807,control
5146,control
16719,treatment
60,treatment
9390,control
5045,control
8783,treatment
12823,control
16634,control
14148,control
9753,control
1718,treatment
1082,treatment
14056,treatment
11683,control
2804,treatment
16865,treatment
2834,control
16061,treatment
3747,treatment
13118,treatment
5357,treatment
1737,control
3278,control
14765,treatment
876,treatment
205,control
7555,control
14331,control
450,treatment
9593,control
1437,treatment
12197,treatment
12082,treatment
1173,control
15427,treatment
2819,control
13493,treatment
12146,treatment
17008,control
12256,control
12293,treatment
1750,treatment
9108,control
5501,control
11004,control
7589,treatment
15676,treatment
6871,treatment
12158,control
1676,treatment
1640,control
5545,treatment
4869,treatment
9048,control
9026,control
6542,control
15702,treatment
13732,treatment
4355,treatment
10594,control
3468,treatment
1168,control
14377,treatment
15292,treatment
5959,control
12283,treatment
10591,treatment
6761,control
13721,control
8417,treatment
7719,control
2757,treatment
12685,control
12785,control
10935,treatment
13152,treatment
9803,control
311,control
17062,control
9274,treatment
4527,control
14267,treatment
14953,control
1032,control
15526,treatment
6404,treatment
14090,control
13794,control
8716,treatment
12593,treatment
1065,control
6990,control
12329,control
1542,treatment
13997,treatment
15045,treatment
4345,treatment
5782,treatment
11771,control
1634,treatment
15260,treatment
1208,control
16078,control
11590,control
14365,control
3648,treatment
6524,treatment
11837,control
11661,treatment
1472,treatment
14008,control
15551,treatment
12661,control
10876,treatment
7505,control
11034,treatment
7916,control
16141,treatment
15799,control
14819,treatment
2527,treatment
15998,treatment
5756,control
8608,treatment
12652,control
12537,treatment
8188,treatment
16183,treatment
895,treatment
12811,treatment
6679,control
689,control
8998,treatment
10429,treatment
11800,treatment
10804,treatment
605,control
5710,control
9210,treatment
4512,control
13085,control
127,treatment
13417,treatment
16195,control
12401,treatment
5027,treatment
10655,control
8980,treatment
10550,control
16638,treatment
8705,treatment
1859,treatment
10074,control
16002,treatment
13497,treatment
1975,control
6832,control
847,control
675,control
7731,treatment
16974,control
11252,control
2114,control
1575,control
12656,treatment
14527,control
321,treatment
959,control
3469,control
13889,control
7909,control
15254,control
3570,treatment
10712,treatment
2448,control
1405,control
16649,treatment
15011,treatment
3553,control
16237,control
15925,control
5099,control
6663,control
4130,control
1013,control
7490,treatment
6649,control
11769,treatment
11931,treatment
15317,treatment
5201,control
1952,control
12318,treatment
13059,treatment
11364,control
16309,control
12906,control
473,treatment
13694,control
11610,control
1621,control
2829,control
9469,treatment
936,treatment
554,control
3403,treatment
7201,treatment
2840,treatment
4051,treatment
6526,control
5470,control
1467,control
1362,control
1557,control
14308,treatment
14446,control
7603,treatment
10578,treatment
13361,control
13351,treatment
5499,control
14391,treatment
9839,treatment
5477,control
15498,treatment
15773,control
15715,control
5914,treatment
3990,treatment
1408,control
10857,treatment
480,control
8148,control
15687,control
15001,control
10635,treatment
3981,control
15756,control
5839,treatment
723,control
2385,control
758,treatment
2157,treatment
16418,control
7867,control
412,treatment
9641,control
9150,treatment
3699,control
11659,control
10068,control
9851,control
15698,treatment
1589,control
15302,control
14011,control
5993,control
16973,treatment
13598,treatment
10043,control
9748,treatment
7243,control
6289,treatment
15170,treatment
5825,treatment
8170,control
2246,treatment
4794,control
10968,treatment
6408,control
13959,control
2013,treatment
14805,control
12115,control
12793,control
3845,treatment
12903,control
1447,treatment
